,Precision,Recall,F1-Score,Support
MICRO AVG,0.14104683195592285,0.0670332547787379,0.0908768193113241,3819
MACRO AVG,0.09211886731759589,0.13248848632243748,0.1011826692183835,3819
WEIGHTED AVG,0.09357625166020955,0.06703325477873788,0.07525640063795154,3819
