bundle,Precision,Recall,F1-Score
bundle_001,0.07407407407407407,0.05714285714285714,0.06451612903225806
bundle_003,0.1232876712328767,0.08490566037735849,0.1005586592178771
bundle_005,0.21301775147928995,0.11356466876971609,0.14814814814814817
bundle_007,0.05220883534136546,0.07428571428571429,0.06132075471698113
bundle_009,0.06382978723404255,0.04559270516717325,0.053191489361702135
bundle_010,0.1326530612244898,0.07602339181286549,0.0966542750929368
bundle_011,0.2057142857142857,0.10285714285714286,0.13714285714285715
bundle_013,0.0963855421686747,0.02888086642599278,0.044444444444444446
bundle_014,0.36666666666666664,0.16058394160583941,0.2233502538071066
bundle_015,0.17857142857142858,0.0947867298578199,0.12383900928792568
bundle_016,0.09289617486338798,0.017580144777662874,0.029565217391304348
bundle_017,0.16470588235294117,0.08641975308641975,0.11336032388663966
bundle_018,0.2033898305084746,0.11428571428571428,0.14634146341463417
bundle_019,0.4090909090909091,0.08333333333333333,0.13846153846153844
bundle_020,0.18292682926829268,0.09615384615384616,0.12605042016806722
