,TP,FP,FN
identity,15,20,0
indicator,202,268,378
ipv4-addr,0,33,0
url,0,62,0
malware,3,17,12
attack-pattern,9,120,269
relationship,27,962,2904
domain-name,0,42,0
windows-registry-key,0,20,0
mutex,0,5,0
threat-actor,0,7,0
vulnerability,0,3,0
