bundle,Precision,Recall,F1-Score
bundle_001,0.1390728476821192,0.15,0.1443298969072165
bundle_003,0.21794871794871795,0.16037735849056603,0.1847826086956522
bundle_004,0.19736842105263158,0.10344827586206896,0.13574660633484162
bundle_005,0.28,0.15457413249211358,0.1991869918699187
bundle_006,0.40625,0.20967741935483872,0.2765957446808511
bundle_007,0.10931174089068826,0.15428571428571428,0.12796208530805686
bundle_008,0.2469879518072289,0.15953307392996108,0.1938534278959811
bundle_009,0.1493212669683258,0.10030395136778116,0.12
bundle_010,0.2523364485981308,0.15789473684210525,0.19424460431654675
bundle_011,0.22009569377990432,0.13142857142857142,0.16457960644007155
bundle_013,0.19672131147540983,0.08664259927797834,0.12030075187969924
bundle_014,0.375,0.19708029197080293,0.2583732057416268
bundle_015,0.20454545454545456,0.12796208530805686,0.1574344023323615
bundle_016,0.037996545768566495,0.06825232678386763,0.04881656804733728
bundle_017,0.2072072072072072,0.1419753086419753,0.1684981684981685
bundle_019,0.15178571428571427,0.0787037037037037,0.10365853658536586
bundle_020,0.2465753424657534,0.11538461538461539,0.15720524017467247
