bundle,graph_similarity_score
bundle_001,42.369160284511736
bundle_003,39.771770898094694
bundle_004,43.41906348036074
bundle_005,56.91733933117877
bundle_006,71.93523574261026
bundle_007,35.62708184848854
bundle_008,42.463645124731464
bundle_009,40.786602123909205
bundle_010,38.430808938123654
bundle_011,51.01771169190458
bundle_013,36.54112854595016
bundle_014,43.802052951215764
bundle_015,32.04453507519878
bundle_016,36.2186975045354
bundle_017,44.71403307709008
bundle_019,32.731817898943014
bundle_020,48.67188828832089
