bundle,Precision,Recall,F1-Score
bundle_001,0.13815789473684212,0.15,0.14383561643835618
bundle_003,0.2073170731707317,0.16037735849056603,0.18085106382978725
bundle_004,0.21739130434782608,0.10344827586206896,0.14018691588785046
bundle_005,0.26136363636363635,0.14511041009463724,0.18661257606490875
bundle_006,0.4482758620689655,0.20967741935483872,0.2857142857142857
bundle_007,0.061224489795918366,0.08571428571428572,0.07142857142857144
bundle_008,0.24848484848484848,0.15953307392996108,0.19431279620853079
bundle_009,0.3125,0.16717325227963525,0.2178217821782178
bundle_010,0.1111111111111111,0.07602339181286549,0.09027777777777778
bundle_011,0.2119815668202765,0.13142857142857142,0.16225749559082892
bundle_013,0.18045112781954886,0.08664259927797834,0.1170731707317073
bundle_014,0.43548387096774194,0.19708029197080293,0.271356783919598
bundle_015,0.21311475409836064,0.12322274881516587,0.15615615615615616
bundle_016,0.041172800998128506,0.06825232678386763,0.051361867704280154
bundle_017,0.1834862385321101,0.12345679012345678,0.14760147601476015
bundle_019,0.16037735849056603,0.0787037037037037,0.10559006211180125
bundle_020,0.1686746987951807,0.08974358974358974,0.11715481171548117
