Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
identity,identity--ee7ee95f-7fd7-428f-9c22-e890d3d11360,identity--a2c0f893-512d-4dff-bd00-4e7c6f78fda4,0.0
indicator,indicator--bcfc2101-91ec-44a5-a640-488199011d16,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,94.11764705882352
indicator,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--bd2ff7e3-f817-489d-b859-765069d57ef4,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--82f6c772-948c-475c-93f3-f93620b2f32a,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--232ec417-ffb6-4fb7-a172-22b92b72c974,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--e69324f4-8c1e-4019-ac8c-54e8062d3706,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--cbe2000c-0e17-40dd-984b-d4e79b5d24ed,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--6fcf2b29-51d6-402f-9804-bf53713dab23,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--569e7c22-d451-4b8b-ab8e-70571e6c7d3b,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--12d735c1-3103-4043-a411-77321b5cacc7,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,indicator--bcfc2101-91ec-44a5-a640-488199011d16,94.11764705882352
indicator,indicator--ee5827d7-24ec-42be-861d-e72e72628557,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--0cb3bf10-4113-492e-a558-c3b3bf610c78,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--8608c198-3ea9-420a-ac35-004dd965f843,indicator--bcfc2101-91ec-44a5-a640-488199011d16,0.0
indicator,indicator--6f0118de-35c6-4532-9966-aa68cfdf8bb6,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--2876d387-21d7-4f60-a525-8008e94b88a8,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--984a842a-389d-44d5-b1a0-d533f66b0c70,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--f74294a6-a0ca-4191-a712-f8a96be4bf27,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--bfb7d9f5-7900-4b3f-a209-0d42d6b7b8da,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--775fad2c-5cff-4f13-af0c-da746c027894,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--94d8af65-e8fb-45cd-9b5c-29aad44a97b1,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--f2363e1d-3ce6-4325-abc8-b674103509e4,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--3df2e879-905b-4d71-b72b-6f6791fd5095,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--d53e4b39-79b6-4886-becf-88e8a34f49ac,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--ed054d1f-578f-44ae-b0fd-739b61be1097,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--5f15d42d-915d-4e13-89c7-348c5b209ac1,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--3e98e6a3-6003-451c-a9fa-5efe2513fec6,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--ca0a1784-352b-40f1-b967-5b99fd1f8f89,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--8a807024-2de6-49d7-9f34-1169983b4fbb,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--a20ce26e-86bc-4ae9-867a-f3bbe17dcf60,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--83aa43d1-eea0-4420-98f5-70ce68ca5e55,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
marking-definition,marking-definition--613f2e26-407d-48c7-9eca-b8e91df99dc9,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,0.0
marking-definition,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,marking-definition--613f2e26-407d-48c7-9eca-b8e91df99dc9,0.0
malware,malware--7c3782c8-aff9-42c0-b3ab-0c458cbba6df,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,78.57142857142858
malware,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,malware--7c3782c8-aff9-42c0-b3ab-0c458cbba6df,78.57142857142858
malware,malware--ef1d18ff-8336-4959-878e-126c2b74ed05,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,20.869565217391308
malware,malware--b117b08c-7a78-487a-a4e6-d720714f4bbc,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,26.66666666666667
relationship,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,82.46305418719213
relationship,relationship--ac92bd8e-fb55-4c84-a2d3-03d99dbdc72d,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,32.36363636363636
relationship,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,82.46305418719213
relationship,relationship--735661bb-7980-4498-b898-e73b4c867bad,relationship--9860bd68-4636-41c2-b498-054b75a4ca27,40.0
relationship,relationship--272ed36d-8fb2-4c76-b03b-dce29feb4185,relationship--9860bd68-4636-41c2-b498-054b75a4ca27,81.42857142857143
relationship,relationship--6e131ab9-6516-4a0d-a084-074e7dd1f036,relationship--62d7cfaa-f722-4a71-926d-5b89a08c6b4e,12.0
relationship,relationship--355e17db-3709-42cc-ad6a-f22d4ad91ff7,relationship--62d7cfaa-f722-4a71-926d-5b89a08c6b4e,74.0952380952381
relationship,relationship--160c6e33-a431-44f5-8aad-4b4a9664e590,relationship--8d2a9e34-2e19-4839-b364-7450d93c1cd5,34.93333333333333
relationship,relationship--e419ef43-f996-416c-ab32-c6319dd225dc,relationship--8d2a9e34-2e19-4839-b364-7450d93c1cd5,79.87301587301587
relationship,relationship--b2215ed7-6c1e-46a5-a3bd-a90938b571de,relationship--7b89899e-41c5-48ad-b88f-3383fb0058c6,37.09090909090909
relationship,relationship--d39c4406-1f4e-408e-aa25-748885160a13,relationship--7b89899e-41c5-48ad-b88f-3383fb0058c6,81.7989417989418
relationship,relationship--de1228ae-d48e-4b14-b603-9bf48b453f18,relationship--cae22db1-5ba2-411b-bf54-b221fc419c7b,37.333333333333336
relationship,relationship--a40c1a80-48c4-4d8d-a631-8e4e7b1b44d2,relationship--cae22db1-5ba2-411b-bf54-b221fc419c7b,82.30576441102757
relationship,relationship--0fbb259b-7a0b-4d0f-a61e-cf1c79a75c3a,relationship--7d22ac35-09fe-4628-84bd-6c9179ce65fc,35.483870967741936
relationship,relationship--010acad3-8a8a-4fdb-b88d-a27d65cabc0c,relationship--7d22ac35-09fe-4628-84bd-6c9179ce65fc,84.67532467532467
relationship,relationship--80b68e13-cd3a-40ac-be32-32094eebf84a,relationship--f4f5fc38-624a-42b8-b5ef-2f31728d98fc,36.11267605633803
relationship,relationship--b7b341ed-2626-4820-9a0a-c5d4b16cb40b,relationship--f4f5fc38-624a-42b8-b5ef-2f31728d98fc,82.76190476190476
relationship,relationship--285985bb-fda4-4cdb-94c9-297febf8c1c1,relationship--d1a25436-510a-4612-894a-f7d8242d7884,40.0
relationship,relationship--469e2b9e-5547-4f23-8db3-b90d2f292f0c,relationship--d1a25436-510a-4612-894a-f7d8242d7884,74.0952380952381
relationship,relationship--f44b86b5-0677-4234-9753-f53b510a91ad,relationship--1ab80ac7-9086-4ac7-b546-7740614f1ece,40.0
relationship,relationship--e45b95c8-9f60-4225-b1bd-f2b09917bf03,relationship--1ab80ac7-9086-4ac7-b546-7740614f1ece,77.74436090225564
relationship,relationship--0b8ea51d-377e-4443-99d0-3f76c0a0f14f,relationship--ae9e0b10-beea-4085-8ab2-d6751bf6da3b,40.0
relationship,relationship--0061a14f-21e0-41e8-9695-7ae40eee08aa,relationship--ae9e0b10-beea-4085-8ab2-d6751bf6da3b,73.49753694581281
relationship,relationship--b5ba8bd9-945f-4e8d-b8b8-8d61881fc6cf,relationship--ca153029-7a59-45c1-86ae-de5d0f996dd7,35.23287671232877
relationship,relationship--3f7402e4-1088-4c7a-a11b-4d741fe6a8bd,relationship--ca153029-7a59-45c1-86ae-de5d0f996dd7,82.19780219780219
relationship,relationship--700de81b-7ca6-45f5-a161-6e44783d8642,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--82b37beb-79ce-4d6f-af98-c324af87c585,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--00ae4d18-27cb-435d-aa3c-a956355fcc0c,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--0160c9a2-4cb8-4687-b853-2638a04bc4db,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--20053f82-6024-452c-bdbc-6d43cd778a6d,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--15121a6f-efc8-462a-a1e2-d1f9bebd5677,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--514b3eb2-df86-4c5b-bfab-18037e715313,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--5d1c6d5c-0fe6-482f-af94-0e3c1a05159d,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--c2005294-8eef-40b8-8f0d-8911fcbc5dbe,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--620601de-371a-4427-ad8f-cb59af9d56c4,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--78bf68c6-4de9-43fc-9ee3-22f87319390c,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--eacde7c8-23c4-42fd-80a9-22a6a6662f8a,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--f23d4997-6f74-4d94-ae9c-13d6a7424d1d,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
relationship,relationship--e5d92b12-17b4-4674-91b5-b0d579cc84e4,relationship--a095acd6-9bb7-4f40-a8a8-19896ffa4523,0.0
