bundle,Precision,Recall,F1-Score
bundle_001,0.12804878048780488,0.15,0.1381578947368421
bundle_003,0.22972972972972974,0.16037735849056603,0.18888888888888888
bundle_004,0.19736842105263158,0.10344827586206896,0.13574660633484162
bundle_005,0.26285714285714284,0.14511041009463724,0.18699186991869918
bundle_006,0.40625,0.20967741935483872,0.2765957446808511
bundle_007,0.1067193675889328,0.15428571428571428,0.1261682242990654
bundle_008,0.2469879518072289,0.15953307392996108,0.1938534278959811
bundle_009,0.14864864864864866,0.10030395136778116,0.11978221415607984
bundle_010,0.25,0.16374269005847952,0.1978798586572438
bundle_011,0.233502538071066,0.13142857142857142,0.16819012797074953
bundle_013,0.17518248175182483,0.08664259927797834,0.11594202898550723
bundle_014,0.36486486486486486,0.19708029197080293,0.2559241706161137
bundle_015,0.21428571428571427,0.12796208530805686,0.1602373887240356
bundle_016,0.037996545768566495,0.06825232678386763,0.04881656804733728
bundle_017,0.21296296296296297,0.1419753086419753,0.17037037037037034
bundle_018,0.21518987341772153,0.1619047619047619,0.1847826086956522
bundle_019,0.1440677966101695,0.0787037037037037,0.10179640718562874
bundle_020,0.23376623376623376,0.11538461538461539,0.15450643776824036
