,TP,FP,FN
identity,14,18,0
indicator,176,201,214
attack-pattern,64,51,206
ipv4-addr,0,30,0
directory,0,2,0
malware,3,14,11
vulnerability,0,5,0
relationship,29,825,1951
domain-name,0,28,0
url,0,33,0
windows-registry-key,0,20,0
threat-actor,0,6,0
mutex,0,11,0
