bundle,graph_similarity_score
bundle_001,41.7851440871787
bundle_003,40.515870164236865
bundle_004,42.81323319541792
bundle_005,56.77434375714814
bundle_006,71.68294669898373
bundle_007,40.77130756925791
bundle_008,42.48665121883477
bundle_009,41.654657174379466
bundle_010,49.953813838006596
bundle_011,49.79454324367611
bundle_013,37.809303500177066
bundle_014,42.98720478139688
bundle_015,32.68524191163734
bundle_016,35.771502761074835
bundle_017,44.889382226412
bundle_018,46.64955507637257
bundle_019,32.810301610930225
bundle_020,50.28933070655276
