bundle,Precision,Recall,F1-Score
bundle_001,0.12359550561797752,0.15714285714285714,0.13836477987421383
bundle_003,0.11688311688311688,0.08490566037735849,0.09836065573770492
bundle_004,0.2692307692307692,0.14482758620689656,0.1883408071748879
bundle_005,0.26136363636363635,0.14511041009463724,0.18661257606490875
bundle_007,0.2076923076923077,0.15428571428571428,0.17704918032786887
bundle_008,0.2774566473988439,0.1867704280155642,0.22325581395348837
bundle_009,0.3107344632768362,0.16717325227963525,0.21739130434782608
bundle_010,0.24561403508771928,0.16374269005847952,0.1964912280701754
bundle_011,0.17616580310880828,0.09714285714285714,0.12523020257826886
bundle_013,0.18045112781954886,0.08664259927797834,0.1170731707317073
bundle_014,0.375,0.19708029197080293,0.2583732057416268
bundle_015,0.20610687022900764,0.12796208530805686,0.15789473684210525
bundle_016,0.13656387665198239,0.0641158221302999,0.08726249120337791
bundle_017,0.17857142857142858,0.12345679012345678,0.145985401459854
bundle_019,0.10759493670886076,0.0787037037037037,0.09090909090909091
bundle_020,0.1590909090909091,0.08974358974358974,0.11475409836065575
