,Precision,Recall,F1-Score,Support
MICRO AVG,0.19680851063829788,0.11686103012633625,0.14664634146341463,4116
MACRO AVG,0.1277073623622729,0.16381813744748336,0.12617053312021526,4116
WEIGHTED AVG,0.1594452639804356,0.11686103012633625,0.12839174140573928,4116
