bundle,Precision,Recall,F1-Score
bundle_001,0.2714285714285714,0.1357142857142857,0.18095238095238095
bundle_003,0.23529411764705882,0.1509433962264151,0.1839080459770115
bundle_005,0.21951219512195122,0.11356466876971609,0.1496881496881497
bundle_007,0.35526315789473684,0.15428571428571428,0.2151394422310757
bundle_010,0.30434782608695654,0.16374269005847952,0.21292775665399238
bundle_011,0.2191780821917808,0.09142857142857143,0.12903225806451615
bundle_013,0.15517241379310345,0.06498194945848375,0.09160305343511449
bundle_014,0.31666666666666665,0.1386861313868613,0.19289340101522842
bundle_015,0.15428571428571428,0.12796208530805686,0.13989637305699482
bundle_017,0.1523809523809524,0.09876543209876543,0.1198501872659176
bundle_018,0.18333333333333332,0.10476190476190476,0.13333333333333333
bundle_019,0.38271604938271603,0.14351851851851852,0.20875420875420872
bundle_020,0.07058823529411765,0.038461538461538464,0.049792531120331954
