Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
relationship,relationship--68384cbb-fa78-4b1e-959e-97187eb4b2d5,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,0.0
relationship,relationship--29f01925-4f95-4db5-9b63-95e49fdd6b62,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,0.0
relationship,relationship--c596d398-46e6-412a-ae60-51f7c98e25f9,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,0.0
relationship,relationship--e65aa2e5-0b24-4dfa-80be-487c3f2209ca,relationship--a863ec35-bbaf-4635-b13c-80fa8e282d57,89.07563025210084
relationship,relationship--4b3e34ba-20bf-4bfb-af8f-550cb05ace9a,relationship--cbd7e484-4b55-48a5-a5d7-9f304f1c1000,51.42857142857144
relationship,relationship--3a1bfd4e-5ed5-4dc5-94f6-739e20db1883,relationship--cbd7e484-4b55-48a5-a5d7-9f304f1c1000,51.42857142857144
relationship,relationship--a045f805-0ac1-475e-8678-645d5b91b815,relationship--8841e79c-fc3a-4495-9af2-23262a000a54,89.07563025210084
relationship,relationship--05e6a56b-25b1-4080-8371-d73308bce41d,relationship--cbd7e484-4b55-48a5-a5d7-9f304f1c1000,51.42857142857144
relationship,relationship--4c8f4ee1-2927-462b-933f-651b4a6ca75c,relationship--cbd7e484-4b55-48a5-a5d7-9f304f1c1000,51.42857142857144
relationship,relationship--85339bd7-2403-456d-b492-f1a944cfb678,relationship--e87460f8-5451-445e-8ded-ff343d9de977,89.07563025210084
relationship,relationship--1332298c-eb61-4c4e-9d66-fb2b7b1c3bdc,relationship--cbd7e484-4b55-48a5-a5d7-9f304f1c1000,51.42857142857144
relationship,relationship--f981733d-6092-4235-863d-b0fa0f53b0a9,relationship--cbd7e484-4b55-48a5-a5d7-9f304f1c1000,51.42857142857144
relationship,relationship--e430bcd7-c774-4942-9f29-48665429c51b,relationship--cbd7e484-4b55-48a5-a5d7-9f304f1c1000,51.42857142857144
relationship,relationship--838286e0-57cd-40fd-a824-c145e8201699,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,20.0
relationship,relationship--780ccd4d-0698-4259-a3ec-6bdd85005402,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,20.0
relationship,relationship--a6f7bf24-eb77-41a2-9e63-d6f5b47436e8,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,20.0
relationship,relationship--b77ea310-7e7d-43e1-87ec-08eaeb1513c0,relationship--cbd7e484-4b55-48a5-a5d7-9f304f1c1000,51.42857142857144
relationship,relationship--0fcee6e5-0bdf-46c7-ab67-d1fca483c425,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,20.0
relationship,relationship--908a2f15-0c51-469c-abb4-e6f4c3f34247,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,20.0
