bundle,graph_similarity_score
bundle_001,42.431692789350336
bundle_003,40.214128354173496
bundle_004,42.752720559943974
bundle_005,57.363953702418144
bundle_006,71.68294669898373
bundle_007,40.21763182015829
bundle_008,42.896694028044536
bundle_009,41.55911008418948
bundle_010,49.039264585693566
bundle_011,52.44390797854488
bundle_013,36.88118802113986
bundle_014,43.14350343826715
bundle_015,32.39679628096241
bundle_016,35.771502761074835
bundle_017,44.72526218334623
bundle_019,33.12371427600146
bundle_020,50.68073537631842
