,TP,FP,FN
identity,16,25,0
indicator,277,367,339
attack-pattern,110,51,216
ipv4-addr,0,38,0
directory,0,4,0
malware,5,24,11
relationship,82,1451,3060
domain-name,0,43,0
url,0,61,0
windows-registry-key,0,23,0
mutex,0,14,0
vulnerability,0,1,0
threat-actor,0,3,0
