bundle,Precision,Recall,F1-Score
bundle_001,0.225,0.12857142857142856,0.16363636363636364
bundle_003,0.22666666666666666,0.16037735849056603,0.18784530386740328
bundle_004,0.18072289156626506,0.10344827586206896,0.13157894736842105
bundle_005,0.26900584795321636,0.14511041009463724,0.18852459016393444
bundle_007,0.17197452229299362,0.15428571428571428,0.16265060240963852
bundle_008,0.2823529411764706,0.1867704280155642,0.22482435597189696
bundle_009,0.3160919540229885,0.16717325227963525,0.21868787276341947
bundle_010,0.4392523364485981,0.27485380116959063,0.3381294964028777
bundle_011,0.1596244131455399,0.09714285714285714,0.12078152753108347
bundle_013,0.0896551724137931,0.04693140794223827,0.061611374407582936
bundle_014,0.36486486486486486,0.19708029197080293,0.2559241706161137
bundle_015,0.20454545454545456,0.12796208530805686,0.1574344023323615
bundle_016,0.09682299546142209,0.06618407445708377,0.07862407862407864
bundle_017,0.16806722689075632,0.12345679012345678,0.1423487544483986
bundle_019,0.11643835616438356,0.0787037037037037,0.09392265193370167
bundle_020,0.17045454545454544,0.09615384615384616,0.12295081967213115
