bundle,graph_similarity_score
bundle_001,42.44636221238247
bundle_003,39.90323957712196
bundle_004,42.752720559943974
bundle_005,57.04314088266072
bundle_006,71.24412835025433
bundle_007,41.112061611537094
bundle_008,42.87475034957953
bundle_009,39.69540089906853
bundle_010,49.63605815270059
bundle_011,51.01771169190458
bundle_014,42.988738269387014
bundle_015,32.362313049489515
bundle_016,36.12448413664494
bundle_017,45.046028265500134
bundle_019,32.902944836252445
bundle_020,49.77491339082433
