bundle,Precision,Recall,F1-Score
bundle_001,0.1390728476821192,0.15,0.1443298969072165
bundle_003,0.20481927710843373,0.16037735849056603,0.17989417989417988
bundle_004,0.19736842105263158,0.10344827586206896,0.13574660633484162
bundle_005,0.2658959537572254,0.14511041009463724,0.18775510204081636
bundle_006,0.43333333333333335,0.20967741935483872,0.2826086956521739
bundle_007,0.11020408163265306,0.15428571428571428,0.12857142857142856
bundle_008,0.24848484848484848,0.15953307392996108,0.19431279620853079
bundle_009,0.19540229885057472,0.1033434650455927,0.13518886679920478
bundle_010,0.24561403508771928,0.16374269005847952,0.1964912280701754
bundle_011,0.2119815668202765,0.13142857142857142,0.16225749559082892
bundle_014,0.3698630136986301,0.19708029197080293,0.2571428571428572
bundle_015,0.20454545454545456,0.12796208530805686,0.1574344023323615
bundle_016,0.04042288557213931,0.0672182006204757,0.050485436893203894
bundle_017,0.19230769230769232,0.12345679012345678,0.15037593984962408
bundle_019,0.14655172413793102,0.0787037037037037,0.10240963855421688
bundle_020,0.2125,0.10897435897435898,0.14406779661016952
